county,cruz,o_rourke,dikeman,cruz_orour_rat,status
Reeves,1125,1252,15,0.8985623003194888,0
Zapata,820,1389,10,0.5903527717782577,0
San Saba,1811,247,11,7.331983805668016,1
Parmer,1674,372,10,4.5,1
Mills,1763,229,11,7.698689956331878,1
Mason,1560,402,5,3.8805970149253732,1
Delta,1561,354,16,4.409604519774011,1
Brooks,543,1376,4,0.3946220930232558,0
Mitchell,1584,323,5,4.904024767801857,1
Yoakum,1558,335,10,4.650746268656716,1
Swisher,1459,420,14,3.473809523809524,1
Wheeler,1679,125,6,13.432,1
Floyd,1310,463,9,2.8293736501079914,1
Childress,1525,234,8,6.517094017094017,1
Hansford,1552,138,20,11.246376811594203,1
Kimble,1493,195,14,7.656410256410257,1
Lynn,1368,323,5,4.235294117647059,1
Haskell,1360,302,10,4.503311258278146,1
Hartley,1467,153,4,9.588235294117647,1
Castro,1219,394,10,3.0939086294416245,1
Bailey,1202,405,7,2.9679012345679014,1
Presidio,406,1172,10,0.3464163822525597,0
Real,1311,245,8,5.351020408163265,1
Martin,1297,243,14,5.337448559670782,1
Donley,1109,411,8,2.6982968369829683,1
Fisher,1139,340,15,3.35,1
La Salle,673,813,3,0.8277982779827798,0
Jim Hogg,409,1060,8,0.3858490566037736,0
Winkler,1123,321,11,3.498442367601246,1
Crosby,978,436,7,2.243119266055046,1
Hemphill,1201,156,9,7.698717948717949,1
Coke,1146,137,10,8.364963503649635,1
Garza,1068,201,16,5.313432835820896,1
Shackelford,1174,103,4,11.398058252427184,1
Crockett,927,340,8,2.726470588235294,1
Baylor,1070,156,9,6.858974358974359,1
Sutton,933,265,7,3.520754716981132,1
Kinney,827,358,14,2.310055865921788,1
Jeff Davis,683,465,28,1.4688172043010752,1
Hardeman,973,185,4,5.2594594594594595,1
Dallam,969,139,6,6.971223021582734,1
Knox,855,229,9,3.7336244541484715,1
Lipscomb,941,116,9,8.112068965517242,1
Crane,836,213,6,3.924882629107981,1
Upton,854,168,8,5.083333333333333,1
Concho,800,163,14,4.9079754601226995,1
Hall,807,161,3,5.012422360248447,1
Schleicher,735,209,8,3.5167464114832536,1
Collingsworth,810,113,5,7.168141592920354,1
Hudspeth,506,404,18,1.2524752475247525,1
Armstrong,819,74,6,11.067567567567568,1
Culberson,294,521,21,0.564299424184261,0
Reagan,692,136,6,5.088235294117647,1
Sherman,691,86,43,8.034883720930232,1
Oldham,732,82,2,8.926829268292684,1
Menard,629,144,6,4.368055555555555,1
Edwards,603,145,8,4.158620689655172,1
Dickens,635,113,6,5.619469026548672,1
Irion,634,95,6,6.673684210526316,1
Throckmorton,617,77,9,8.012987012987013,1
Cochran,541,140,5,3.8642857142857143,1
Briscoe,563,69,2,8.159420289855072,1
Stonewall,497,112,5,4.4375,1
Cottle,458,97,2,4.721649484536083,1
Glasscock,513,37,4,13.864864864864865,1
Motley,483,41,4,11.78048780487805,1
Sterling,442,44,0,10.045454545454545,1
Terrell,323,138,5,2.3405797101449277,1
Roberts,441,19,0,23.210526315789473,1
Foard,321,113,1,2.84070796460177,1
McMullen,387,41,2,9.439024390243903,1
Borden,320,22,1,14.545454545454545,1
Kent,288,44,5,6.545454545454546,1
Kenedy,100,77,3,1.2987012987012987,1
King,124,6,1,20.666666666666668,1
Loving,46,6,1,7.666666666666667,1
